Source,Target,Weight
G2,Liquid,8.0
G2,FaZe,13.0
G2,Vitality,22.0
G2,Natus Vincere,7.0
G2,HEROIC,4.0
G2,Outsiders,7.0
G2,Ninjas in Pyjamas,7.0
G2,Fluxo,2.0
G2,FURIA,9.0
G2,MOUZ,2.0
G2,Spirit,1.0
G2,fnatic,6.0
G2,BIG,4.0
G2,ENCE,7.0
G2,Imperial,1.0
G2,Complexity,1.0
G2,Movistar Riders,3.0
G2,Astralis,6.0
G2,MIBR,4.0
G2,FTW,2.0
G2,Entropiq,3.0
G2,Looking For Org,2.0
G2,Virtus.pro,2.0
Liquid,FaZe,8.0
Liquid,OG,3.0
Liquid,Vitality,7.0
Liquid,Natus Vincere,10.0
Liquid,HEROIC,11.0
Liquid,Outsiders,3.0
Liquid,Ninjas in Pyjamas,5.0
Liquid,FURIA,6.0
Liquid,MOUZ,3.0
Liquid,Spirit,6.0
Liquid,Cloud9,10.0
Liquid,fnatic,3.0
Liquid,BIG,2.0
Liquid,Sprout,1.0
Liquid,9z,2.0
Liquid,Evil Geniuses,3.0
Liquid,Imperial,3.0
Liquid,00NATION,3.0
Liquid,Complexity,3.0
Liquid,Eternal Fire,2.0
Liquid,Movistar Riders,9.0
Liquid,Astralis,2.0
Liquid,MIBR,2.0
Liquid,Players,2.0
Liquid,Party Astronauts,2.0
Liquid,GODSENT,2.0
FaZe,OG,10.0
FaZe,Vitality,7.0
FaZe,Natus Vincere,14.0
FaZe,HEROIC,9.0
FaZe,Outsiders,5.0
FaZe,Ninjas in Pyjamas,6.0
FaZe,FURIA,5.0
FaZe,MOUZ,3.0
FaZe,Spirit,4.0
FaZe,Cloud9,8.0
FaZe,fnatic,3.0
FaZe,BIG,11.0
FaZe,ENCE,13.0
FaZe,Sprout,3.0
FaZe,Bad News Eagles,4.0
FaZe,Evil Geniuses,1.0
FaZe,00NATION,2.0
FaZe,Complexity,3.0
FaZe,Movistar Riders,2.0
FaZe,Astralis,8.0
FaZe,MIBR,3.0
FaZe,FTW,2.0
FaZe,paiN,2.0
FaZe,Encore,1.0
FaZe,Copenhagen Flames,3.0
FaZe,Players,3.0
FaZe,Gambit,2.0
OG,Vitality,6.0
OG,Natus Vincere,6.0
OG,HEROIC,6.0
OG,Ninjas in Pyjamas,5.0
OG,FURIA,1.0
OG,MOUZ,2.0
OG,fnatic,1.0
OG,ENCE,4.0
OG,Grayhound,1.0
OG,IHC,2.0
OG,Complexity,2.0
OG,Astralis,5.0
OG,MIBR,1.0
OG,Entropiq,2.0
OG,Renegades,1.0
Vitality,Natus Vincere,10.0
Vitality,HEROIC,5.0
Vitality,Outsiders,6.0
Vitality,Ninjas in Pyjamas,4.0
Vitality,FURIA,3.0
Vitality,MOUZ,9.0
Vitality,Spirit,2.0
Vitality,fnatic,3.0
Vitality,BIG,3.0
Vitality,ENCE,9.0
Vitality,Sprout,5.0
Vitality,GamerLegion,1.0
Vitality,Evil Geniuses,1.0
Vitality,Grayhound,2.0
Vitality,Imperial,1.0
Vitality,Complexity,1.0
Vitality,Movistar Riders,5.0
Vitality,Astralis,3.0
Vitality,MIBR,2.0
Vitality,Endpoint,2.0
Vitality,TYLOO,1.0
Vitality,paiN,3.0
Vitality,FORZE,3.0
Vitality,Gambit,2.0
Natus Vincere,HEROIC,11.0
Natus Vincere,Ninjas in Pyjamas,16.0
Natus Vincere,Fluxo,2.0
Natus Vincere,FURIA,5.0
Natus Vincere,MOUZ,3.0
Natus Vincere,Spirit,2.0
Natus Vincere,Cloud9,1.0
Natus Vincere,fnatic,3.0
Natus Vincere,BIG,5.0
Natus Vincere,ENCE,5.0
Natus Vincere,Bad News Eagles,2.0
