Source,Target,Weight
Natus Vincere,Gambit,35.0
Natus Vincere,Vitality,20.0
Natus Vincere,Liquid,12.0
Natus Vincere,Astralis,5.0
Natus Vincere,G2,13.0
Natus Vincere,Ninjas in Pyjamas,2.0
Natus Vincere,HEROIC,12.0
Natus Vincere,Virtus.pro,7.0
Natus Vincere,fnatic,2.0
Natus Vincere,FaZe,14.0
Natus Vincere,BIG,6.0
Natus Vincere,OG,3.0
Natus Vincere,ENCE,2.0
Natus Vincere,MOUZ,3.0
Natus Vincere,Entropiq,5.0
Natus Vincere,FURIA,7.0
Natus Vincere,Evil Geniuses,2.0
Natus Vincere,Spirit,9.0
Natus Vincere,Renegades,3.0
Natus Vincere,TeamOne,2.0
Natus Vincere,Complexity,8.0
Natus Vincere,FORZE,4.0
Natus Vincere,Nemiga,4.0
Natus Vincere,AVE,1.0
Natus Vincere,Akuma,5.0
Natus Vincere,MIBR,5.0
Natus Vincere,bankaPEPSI,2.0
Natus Vincere,GROND,2.0
Natus Vincere,Cloud9,3.0
Gambit,Vitality,9.0
Gambit,Liquid,6.0
Gambit,Astralis,4.0
Gambit,G2,12.0
Gambit,Ninjas in Pyjamas,9.0
Gambit,HEROIC,10.0
Gambit,Virtus.pro,12.0
Gambit,fnatic,4.0
Gambit,FaZe,6.0
Gambit,BIG,2.0
Gambit,OG,3.0
Gambit,ENCE,1.0
Gambit,MOUZ,8.0
Gambit,Entropiq,13.0
Gambit,Fiend,2.0
Gambit,Enterprise,3.0
Gambit,eSuba,2.0
Gambit,FURIA,7.0
Gambit,Evil Geniuses,6.0
Gambit,Spirit,6.0
Gambit,TeamOne,5.0
Gambit,Sprout,1.0
Gambit,Complexity,5.0
Gambit,INDE IRAE,1.0
Gambit,K23,3.0
Gambit,Unique,1.0
Gambit,FORZE,3.0
Gambit,Nemiga,5.0
Gambit,Akuma,6.0
Gambit,MIBR,3.0
Gambit,Trident,2.0
Gambit,Cloud9,3.0
Vitality,Liquid,10.0
Vitality,Astralis,23.0
Vitality,G2,9.0
Vitality,Ninjas in Pyjamas,10.0
Vitality,HEROIC,6.0
Vitality,Virtus.pro,7.0
Vitality,FaZe,5.0
Vitality,BIG,2.0
Vitality,OG,10.0
Vitality,ENCE,5.0
Vitality,MOUZ,3.0
Vitality,Entropiq,3.0
Vitality,FURIA,4.0
Vitality,Copenhagen Flames,2.0
Vitality,Evil Geniuses,6.0
Vitality,Spirit,6.0
Vitality,Renegades,1.0
Vitality,Bad News Bears,2.0
Vitality,Extra Salt,3.0
Vitality,MAD Lions,1.0
Vitality,Sprout,1.0
Vitality,Dignitas,1.0
Vitality,Complexity,9.0
Vitality,FunPlus Phoenix,3.0
Vitality,DBL PONEY,4.0
Liquid,Astralis,9.0
Liquid,G2,5.0
Liquid,Ninjas in Pyjamas,10.0
Liquid,HEROIC,6.0
Liquid,Virtus.pro,4.0
Liquid,GODSENT,2.0
Liquid,fnatic,4.0
Liquid,FaZe,8.0
Liquid,BIG,2.0
Liquid,OG,4.0
Liquid,ENCE,1.0
Liquid,MOUZ,3.0
Liquid,Entropiq,3.0
Liquid,FURIA,11.0
Liquid,Evil Geniuses,6.0
Liquid,paiN,6.0
Liquid,EXTREMUM,4.0
Liquid,TeamOne,2.0
Liquid,Bad News Bears,4.0
Liquid,Extra Salt,4.0
Liquid,ATK,1.0
Liquid,Endpoint,2.0
Liquid,MIBR,3.0
Astralis,G2,9.0
Astralis,Ninjas in Pyjamas,9.0
Astralis,HEROIC,12.0
Astralis,Virtus.pro,9.0
Astralis,GODSENT,2.0
Astralis,fnatic,2.0
Astralis,FaZe,5.0
Astralis,BIG,5.0
Astralis,OG,4.0
Astralis,ENCE,4.0
Astralis,MOUZ,6.0
Astralis,Entropiq,1.0
Astralis,Fiend,2.0
Astralis,Movistar Riders,1.0
Astralis,SINNERS,1.0
Astralis,FURIA,3.0
Astralis,Copenhagen Flames,1.0
Astralis,Evil Geniuses,10.0
Astralis,Spirit,8.0
Astralis,paiN,2.0
Astralis,Bad News Bears,2.0
Astralis,Extra Salt,3.0
Astralis,Endpoint,3.0
Astralis,Complexity,3.0
Astralis,FunPlus Phoenix,1.0
Astralis,DBL PONEY,2.0
G2,Ninjas in Pyjamas,22.0
G2,HEROIC,6.0
G2,Virtus.pro,5.0
G2,FaZe,9.0
G2,BIG,11.0
G2,OG,2.0
G2,ENCE,6.0
G2,TYLOO,1.0
G2,MOUZ,7.0
G2,Entropiq,2.0
G2,Fiend,2.0
G2,Movistar Riders,3.0
G2,SINNERS,3.0
G2,FURIA,5.0
G2,Copenhagen Flames,2.0
G2,Evil Geniuses,7.0
G2,Spirit,4.0
G2,Extra Salt,1.0
G2,Complexity,10.0
G2,FunPlus Phoenix,4.0
G2,AURA,1.0
G2,FORZE,2.0
G2,MIBR,2.0
Ninjas in Pyjamas,HEROIC,7.0
Ninjas in Pyjamas,Virtus.pro,13.0
Ninjas in Pyjamas,GODSENT,3.0
Ninjas in Pyjamas,fnatic,4.0
Ninjas in Pyjamas,FaZe,3.0
Ninjas in Pyjamas,BIG,14.0
Ninjas in Pyjamas,OG,7.0
Ninjas in Pyjamas,ENCE,7.0
Ninjas in Pyjamas,MOUZ,12.0
Ninjas in Pyjamas,Entropiq,2.0
Ninjas in Pyjamas,Fiend,1.0
Ninjas in Pyjamas,Movistar Riders,3.0
Ninjas in Pyjamas,FURIA,5.0
Ninjas in Pyjamas,Copenhagen Flames,3.0
Ninjas in Pyjamas,Evil Geniuses,2.0
Ninjas in Pyjamas,TeamOne,2.0
Ninjas in Pyjamas,Dignitas,3.0
Ninjas in Pyjamas,Complexity,6.0
Ninjas in Pyjamas,FunPlus Phoenix,2.0
Ninjas in Pyjamas,SKADE,1.0
Ninjas in Pyjamas,DBL PONEY,1.0
Ninjas in Pyjamas,LDLC,1.0
Ninjas in Pyjamas,Anonymo,3.0
Ninjas in Pyjamas,Cloud9,3.0
HEROIC,Virtus.pro,3.0
